facility_id,name,operator,facility_class,lat,lon,address,city,postcode,utility,utility_candidates,year_built,building_levels_reported,building_levels_used,partial_occupancy,footprint_sqft,est_gross_sqft,est_white_space_sqft,best_power_mw,power_ci_low_mw,power_ci_high_mw,power_tier,n_power_methods,est_annual_gwh,pdb_net_count,pdb_ix_count,pdb_carrier_count,clli,website,source_list,n_sources
stack-infrastructure-95e336,STACK Infrastructure,STACK Infrastructure,wholesale,37.4022125299217,-121.89238428231019,2150 Trade Zone Boulevard,San Jose,95131,PG&E,"PG&E,PWRPA",,1.0,1.0,False,107993.73420221552,107993.73420221552,64796.24052132931,13.607210509479156,6.803605254739578,23.326646587678553,C_area,1.0,120.98715152398294,,,,,,osm,1
digital-west-data-center-a9b15a,Digital West Data Center,Digital Realty,colocation,35.2553162,-120.6415128,,,,PG&E,PG&E,,1.0,1.0,False,,,,,,,,,,,,,,,osm,1
coresite-san-jose-sv1-16db38,CoreSite - San Jose (SV1),CoreSite,colocation,37.3342167,-121.891572,55 S. Market Street,San Jose,95113,PG&E,"PG&E,PWRPA",,1.0,1.0,False,,,,6.879769230769231,2.4063499999999998,8.40881818181818,B_generator,1.0,63.28011738461538,55.0,3.0,4.0,SNJSCAJN,http://www.coresite.com,"epa_nei,osm,peeringdb",3
ntirety-44a0d9,Ntirety,Ntirety,colocation,37.7796531,-122.3940005,630 3rd Street,,,PG&E,"CCSF,PG&E",,1.0,1.0,False,,,,,,,,,,,,,,,osm,1
e360-06b845,e360,e360,unknown,37.9710809,-122.0437382,1855 Gateway Boulevard,Concord,94520,PG&E,PG&E,,1.0,1.0,False,,,,,,,,,,,,,,https://www.e360.com/,osm,1
it-eaba34,IT,QTS,wholesale,33.9102899,-117.5030207,,,,City of Riverside,"City of Riverside,Metropolitan Water District of So. Cal",,1.0,1.0,False,,,,,,,,,,,,,,,osm,1
prime-santa-clara-7f7c61,Prime Santa Clara,Prime Data Centers,wholesale,37.3666621,-121.9628653,2215 Martin Avenue,,,SVP,"PWRPA,SVP",,1.0,1.0,False,,,,,,,,,,,,,,https://primedatacenters.com/santa-clara-data-centers/,osm,1
forescout-technologies-inc-9088d3,"Forescout Technologies, Inc.","Forescout Technologies, Inc.",unknown,37.3228675,-121.9474176,300 Santana Row,San Jose,95128,PG&E,"PG&E,PWRPA",,1.0,1.0,False,,,,,,,,,,,,,,https://www.forescout.com/,osm,1
coresite-los-angeles-la2-cbc8f1,CoreSite - Los Angeles (LA2),CoreSite,colocation,34.058287449999995,-118.23563569999999,900 N. Alameda,Los Angeles,90012,LADWP,"LADWP,Metropolitan Water District of So. Cal",,1.0,1.0,False,,,,,,,,,,196.0,3.0,7.0,LSANCAVJ,http://www.coresite.com,"osm,peeringdb",2
petadata-2ae21a,Petadata,Petadata,unknown,37.5529209,-121.9808321,,,,PG&E,PG&E,,1.0,1.0,False,,,,,,,,,,,,,,,osm,1
