facility_id,source,source_id,source_url,source_name
stack-infrastructure-95e336,osm,node/8238715059,https://www.openstreetmap.org/node/8238715059,STACK Infrastructure
stack-infrastructure-95e336,osm,node/8238715061,https://www.openstreetmap.org/node/8238715061,STACK Infrastructure
stack-infrastructure-95e336,osm,way/553223628,https://www.openstreetmap.org/way/553223628,Stack Infrastructure
stack-infrastructure-95e336,osm,way/553223629,https://www.openstreetmap.org/way/553223629,Stack Infrastructure
digital-west-data-center-a9b15a,osm,node/8477460442,https://www.openstreetmap.org/node/8477460442,Digital West Data Center
coresite-san-jose-sv1-16db38,osm,node/8897151054,https://www.openstreetmap.org/node/8897151054,San Jose Colocation Center
coresite-san-jose-sv1-16db38,peeringdb,20,https://www.peeringdb.com/fac/20,CoreSite - San Jose (SV1)
coresite-san-jose-sv1-16db38,epa_nei,15968711,https://enviro.epa.gov/enviro/efsystemquery.frs_program?fac_search=facility_id&fac_value=15968711,CORESITE
ntirety-44a0d9,osm,node/10780794741,https://www.openstreetmap.org/node/10780794741,Ntirety
e360-06b845,osm,node/10880725408,https://www.openstreetmap.org/node/10880725408,e360
it-eaba34,osm,node/11924506303,https://www.openstreetmap.org/node/11924506303,IT
prime-santa-clara-7f7c61,osm,node/12437277166,https://www.openstreetmap.org/node/12437277166,Prime Santa Clara
forescout-technologies-inc-9088d3,osm,node/12550746951,https://www.openstreetmap.org/node/12550746951,"Forescout Technologies, Inc."
coresite-los-angeles-la2-cbc8f1,osm,node/13042311881,https://www.openstreetmap.org/node/13042311881,CoreSite - LA2
coresite-los-angeles-la2-cbc8f1,peeringdb,363,https://www.peeringdb.com/fac/363,CoreSite - Los Angeles (LA2)
petadata-2ae21a,osm,node/14081154610,https://www.openstreetmap.org/node/14081154610,Petadata
lightedge-san-diego-1-san1-443e9e,osm,way/31800424,https://www.openstreetmap.org/way/31800424,LightEdge SAN1
lightedge-san-diego-1-san1-443e9e,peeringdb,799,https://www.peeringdb.com/fac/799,LightEdge San Diego 1 (SAN1)
edgeconnex-san-diego-edcsdg01-a2b1c3,osm,way/31803515,https://www.openstreetmap.org/way/31803515,EdgeConneX San Diego
edgeconnex-san-diego-edcsdg01-a2b1c3,peeringdb,1928,https://www.peeringdb.com/fac/1928,EdgeConneX San Diego (EDCSDG01)
ragingwire-ca2-ntt-cfea56,osm,way/32560290,https://www.openstreetmap.org/way/32560290,RagingWire CA2
