facility_id,method,basis,it_load_mw,ci_low_mw,ci_high_mw,annual_gwh,pue_used,n_generator_units,generator_nameplate_mw,partial_occupancy,stated_value_mw,source_url,retrieved_at,quote,assumptions_json
2805-lafayette-f3160d,B_generator,backup_generator_fleet,15.103846153846154,4.137375,18.615,134.2943376923077,1.45,11.0,23.1,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 11, ""n_units_with_parsed_rating"": 0, ""nameplate_mw_mid"": 23.1, ""parsed_rated_kw_sum"": 0.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.45, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
3011-lafayette-f82457,B_generator,backup_generator_fleet,8.238461538461538,2.25675,10.153636363636362,73.25145692307692,1.45,6.0,12.6,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 6, ""n_units_with_parsed_rating"": 0, ""nameplate_mw_mid"": 12.6, ""parsed_rated_kw_sum"": 0.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.45, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
amazon-data-services-inc-2f97f0,B_generator,backup_generator_fleet,28.834615384615383,7.898625,35.53772727272727,247.5394061538461,1.4,21.0,44.1,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 21, ""n_units_with_parsed_rating"": 0, ""nameplate_mw_mid"": 44.1, ""parsed_rated_kw_sum"": 0.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.4, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
amazon-data-services-inc-5ef47b,B_generator,backup_generator_fleet,30.20769230769231,8.27475,37.23,259.3269969230769,1.4,22.0,46.2,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 22, ""n_units_with_parsed_rating"": 0, ""nameplate_mw_mid"": 46.2, ""parsed_rated_kw_sum"": 0.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.4, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
american-internet-services-inc-dee42b,B_generator,backup_generator_fleet,2.341292307692308,1.5218399999999999,2.7669818181818178,20.817366424615383,1.45,8.0,3.5808,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 8, ""n_units_with_parsed_rating"": 8, ""nameplate_mw_mid"": 3.5808, ""parsed_rated_kw_sum"": 3580.8, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.45, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
apple-inc-3826fc,B_generator,backup_generator_fleet,19.22307692307692,5.26575,23.69181818181818,165.02627076923073,1.4,14.0,29.4,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 14, ""n_units_with_parsed_rating"": 0, ""nameplate_mw_mid"": 29.4, ""parsed_rated_kw_sum"": 0.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.4, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
coresite-milpitas-sv2-ea7670,B_generator,backup_generator_fleet,5.492307692307692,1.5045,6.769090909090909,50.51824615384616,1.5,4.0,8.4,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 4, ""n_units_with_parsed_rating"": 0, ""nameplate_mw_mid"": 8.4, ""parsed_rated_kw_sum"": 0.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.5, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
coresite-san-jose-sv1-16db38,B_generator,backup_generator_fleet,6.879769230769231,2.4063499999999998,8.40881818181818,63.28011738461538,1.5,5.0,10.522,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 5, ""n_units_with_parsed_rating"": 1, ""nameplate_mw_mid"": 10.522, ""parsed_rated_kw_sum"": 2122.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.5, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
coresite-santa-clara-sv3-ca6c12,B_generator,backup_generator_fleet,28.834615384615383,7.898625,35.53772727272727,265.2207923076923,1.5,21.0,44.1,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 21, ""n_units_with_parsed_rating"": 0, ""nameplate_mw_mid"": 44.1, ""parsed_rated_kw_sum"": 0.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.5, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
cyxtera-communications-llc-54eac7,B_generator,backup_generator_fleet,6.865384615384615,1.8806249999999998,8.461363636363634,61.04288076923076,1.45,5.0,10.5,,,https://www.epa.gov/air-emissions-inventories,,,"{""critical_to_it"": 0.85, ""n_generator_units"": 5, ""n_units_with_parsed_rating"": 0, ""nameplate_mw_mid"": 10.5, ""parsed_rated_kw_sum"": 0.0, ""per_unit_kw_prior"": {""high"": 2190.0, ""low"": 885.0, ""mid"": 2100.0, ""provenance"": ""median/IQR of 60 NEI 2020 CA data-center units whose nameplate parsed from free text""}, ""pue_mid"": 1.45, ""redundancy_ci"": [1.1, 2.0], ""redundancy_factor"": 1.3, ""utilization"": 0.7}"
