osm_type,osm_id,source_id,name,n_versions,created_ts,created_user,created_changeset,datacenter_tagged_ts,start_date_tag,created_year,datacenter_tagged_year
node,2607827436,node/2607827436,SDSU Computer Room,2,2014-01-03T13:31:16Z,PhamCuong,19786500,2020-11-13T04:21:53Z,,2014,2020
node,5146323411,node/5146323411,Open Computing Facility,2,2017-10-04T01:17:53Z,dkess,52611657,2020-01-05T22:20:07Z,,2017,2020
node,8238715059,node/8238715059,STACK Infrastructure,2,2020-12-17T22:17:52Z,impiaaa,96030040,2020-12-17T22:17:52Z,,2020,2020
node,8238715061,node/8238715061,STACK Infrastructure,2,2020-12-17T22:17:52Z,impiaaa,96030040,2020-12-17T22:17:52Z,,2020,2020
node,8477460442,node/8477460442,Digital West Data Center,1,2021-03-02T00:26:11Z,csecsecse,100235468,2021-03-02T00:26:11Z,,2021,2021
node,8897151054,node/8897151054,San Jose Colocation Center,4,2021-07-06T06:20:38Z,Minh Nguyen,107473452,2021-07-06T06:20:38Z,,2021,2021
node,10780794741,node/10780794741,,1,2023-04-03T02:26:20Z,lasagna,134434681,2023-04-03T02:26:20Z,,2023,2023
node,10880725408,node/10880725408,e360,2,2023-05-09T10:55:12Z,e360Concordca,135889899,2023-05-09T10:55:12Z,,2023,2023
node,11924506303,node/11924506303,IT,1,2024-05-22T03:58:29Z,Keith Helbley,151654635,2024-05-22T03:58:29Z,,2024,2024
node,12437277166,node/12437277166,Prime Santa Clara,1,2024-12-20T17:29:01Z,wvdp,160442932,2024-12-20T17:29:01Z,,2024,2024
node,12550746951,node/12550746951,"Forescout Technologies, Inc.",2,2025-02-02T05:43:46Z,hertha_hp,162034146,2025-02-02T05:43:46Z,,2025,2025
node,13042311881,node/13042311881,CoreSite - LA2,1,2025-08-02T02:19:03Z,beddy,169843102,2025-08-02T02:19:03Z,,2025,2025
node,14081154610,node/14081154610,Petadata,1,2026-08-08T23:34:51Z,democat,187156923,2026-08-08T23:34:51Z,,2026,2026
way,30666790,way/30666790,USPO Terminal Annex,13,2009-01-30T15:51:59Z,jerjozwik,855444,2023-04-26T01:12:09Z,1938,2009,2023
way,31800424,way/31800424,LightEdge SAN1,7,2009-03-05T23:34:45Z,Adam Geitgey,742591,2023-04-26T01:42:10Z,,2009,2023
way,31803515,way/31803515,EdgeConneX San Diego,3,2009-03-06T00:02:14Z,Adam Geitgey,742591,2025-12-28T16:14:56Z,,2009,2025
way,32560290,way/32560290,RagingWire CA2,4,2009-03-27T15:14:42Z,jraller,862924,2023-04-26T01:45:04Z,,2009,2023
way,32560292,way/32560292,RagingWire CA1,4,2009-03-27T15:14:57Z,jraller,862924,2023-04-26T01:32:14Z,,2009,2023
way,35491576,way/35491576,Equinix SV1,7,2009-06-06T02:15:00Z,nmixter,1434031,2016-12-16T18:55:10Z,,2009,2016
way,37877544,way/37877544,Lumen Sunnyvale 1,4,2009-07-20T16:37:56Z,nmixter,1886187,2025-12-23T21:35:27Z,,2009,2025
way,37947313,way/37947313,OpenColo,3,2009-07-22T16:53:28Z,nmixter,1906279,2024-12-20T17:29:01Z,,2009,2024
way,37947314,way/37947314,Equinix Santa Clara SV2,6,2009-07-22T16:53:46Z,nmixter,1906279,2016-12-16T18:55:11Z,,2009,2016
way,37947315,way/37947315,Layer42 Santa Clara,4,2009-07-22T16:53:58Z,nmixter,1906279,2016-12-17T11:41:08Z,,2009,2016
way,38305431,way/38305431,Digital Realty Silicon Valley SJC34,4,2009-07-30T20:47:41Z,nmixter,1988534,2016-12-17T11:41:08Z,,2009,2016
way,38305568,way/38305568,Csquare SFO1,3,2009-07-30T20:51:28Z,nmixter,1988534,2016-12-17T11:41:08Z,,2009,2016
way,38305611,way/38305611,,3,2009-07-30T20:53:19Z,nmixter,1988534,2016-12-17T11:41:09Z,,2009,2016
way,40608200,way/40608200,Cologix Santa Clara SV1 Data Center,4,2009-09-11T07:38:24Z,wallclimber21,2443343,2024-12-20T17:29:01Z,,2009,2024
way,54119665,way/54119665,Csquare SFO2,4,2010-04-02T23:21:22Z,Alexander Avtanski,4309102,2025-12-23T19:25:44Z,,2010,2025
way,54119667,way/54119667,Csquare SFO2,4,2010-04-02T23:21:22Z,Alexander Avtanski,4309102,2025-12-23T19:25:44Z,,2010,2025
way,54121151,way/54121151,QTS Santa Clara 1,5,2010-04-02T23:37:03Z,Alexander Avtanski,4309149,2025-12-23T19:27:47Z,,2010,2025
way,54173383,way/54173383,CoreSite SV3,4,2010-04-03T15:14:55Z,Em Sharnoff,4313982,2024-05-10T21:55:43Z,,2010,2024
way,54173753,way/54173753,CoreSite SV6,2,2010-04-03T15:22:06Z,Em Sharnoff,4313982,2024-12-20T17:29:01Z,,2010,2024
way,54173755,way/54173755,CoreSite SV8,4,2010-04-03T15:22:08Z,Em Sharnoff,4313982,2024-12-20T17:29:01Z,,2010,2024
way,54383196,way/54383196,CoreSite SV5,5,2010-04-05T14:26:31Z,Em Sharnoff,4333777,2024-12-20T17:29:01Z,,2010,2024
way,54383197,way/54383197,CoreSite SV9,5,2010-04-05T14:26:32Z,Em Sharnoff,4333777,2024-07-07T00:17:30Z,,2010,2024
way,58708529,way/58708529,QTS Santa Clara 2,3,2010-05-09T14:46:16Z,David Muir Sharnoff,4649414,2025-12-23T19:30:35Z,,2010,2025
way,99813512,way/99813512,Equinix SV4,4,2011-02-15T03:48:20Z,Bike Mapper,7291652,2016-12-16T19:04:54Z,,2011,2016
way,132746406,way/132746406,Equinix SV8,6,2011-10-09T18:40:56Z,oldtopos,9515777,2016-12-16T19:04:54Z,,2011,2016
way,161126131,way/161126131,Equinix SV5,9,2012-04-25T22:16:09Z,willo23,11419635,2016-12-16T18:55:11Z,,2012,2016
way,190868312,way/190868312,RagingWire CA3,3,2012-11-15T07:28:16Z,tkmedia,13879903,2023-11-29T15:57:51Z,,2012,2023
way,192307107,way/192307107,360 Spear Street Data Center,5,2012-11-23T19:09:11Z,dbaron,14003265,2016-12-16T19:55:44Z,,2012,2016
way,194049551,way/194049551,QTS Sacramento,4,2012-12-02T03:02:44Z,tkmedia,14119870,2023-11-29T15:46:16Z,,2012,2023
way,205823968,way/205823968,Equinix SV15,2,2013-02-16T20:34:41Z,Bike Mapper,15056257,2023-11-29T15:40:10Z,,2013,2023
way,205823970,way/205823970,Equinix SV16,4,2013-02-16T20:34:41Z,Bike Mapper,15056257,2022-02-20T01:51:03Z,,2013,2022
way,205823971,way/205823971,Equinix SV17,3,2013-02-16T20:34:41Z,Bike Mapper,15056257,2022-02-20T01:51:03Z,,2013,2022
way,205823980,way/205823980,Equinix SV14,2,2013-02-16T20:34:42Z,Bike Mapper,15056257,2023-11-29T15:40:10Z,,2013,2023
way,205846843,way/205846843,CoreSite SV4,4,2013-02-16T23:28:52Z,Bike Mapper,15057892,2024-12-20T17:29:01Z,,2013,2024
way,209073635,way/209073635,Lumen Santa Clara,5,2013-03-09T18:32:37Z,Bike Mapper,15305717,2016-12-17T11:41:09Z,,2013,2016
way,209073636,way/209073636,Prime Santa Clara,3,2013-03-09T18:32:37Z,Bike Mapper,15305717,2024-12-20T17:29:01Z,,2013,2024
way,209073641,way/209073641,Digital Realty Silicon Valley SJC10,6,2013-03-09T18:32:37Z,Bike Mapper,15305717,2016-12-17T11:41:09Z,,2013,2016
way,209073645,way/209073645,Colovore,3,2013-03-09T18:32:37Z,Bike Mapper,15305717,2024-12-20T17:29:01Z,,2013,2024
