canonical,alias
Equinix,Equinix
Equinix,Equinix Inc
Equinix,Equinix LLC
Equinix,Switch and Data
Digital Realty,Digital Realty
Digital Realty,Digital Realty Trust
Digital Realty,Telx
Digital Realty,DuPont Fabros
Digital Realty,dlr
CoreSite,CoreSite
CoreSite,CoreSite Realty
CoreSite,CoreSite Real Estate
CoreSite,American Tower
CyrusOne,CyrusOne
Vantage Data Centers,Vantage
Vantage Data Centers,Vantage Data Centers
STACK Infrastructure,Stack Infrastructure
STACK Infrastructure,Stack Infrastructure Incorporated
STACK Infrastructure,STACK
STACK Infrastructure,Infomart
QTS,Quality Technology Services
QTS,QTS Realty Trust
QTS,QTS Data Centers
EdgeConneX,EdgeConneX
EdgeConneX,EdgeConnex
NTT,NTT
NTT,NTT Limited
NTT,NTT Global Data Centers
NTT,RagingWire
Lumen Technologies,Lumen Technologies
Lumen Technologies,Lumen
Lumen Technologies,CenturyLink
Lumen Technologies,Centurylink
Lumen Technologies,Level 3
Lumen Technologies,Qwest
Lumen Technologies,Savvis
AT&T,AT&T
AT&T,American Telephone & Telegraph
AT&T,AT&T Inc
AT&T,Pacific Bell
Verizon,Verizon
Verizon,Verizon Business
Verizon,MCI
Hurricane Electric,Hurricane Electric
Cologix,Cologix
Flexential,Flexential
Flexential,Peak 10
Flexential,ViaWest
DataBank,DataBank
DataBank,zColo
H5 Data Centers,H5 Data Centers
H5 Data Centers,H5
Sabey Data Centers,Sabey
Sabey Data Centers,Sabey Data Centers
Iron Mountain,Iron Mountain
Iron Mountain,Iron Mountain Data Centers
Switch,Switch
Switch,Switch Inc
Aligned,Aligned
Aligned,Aligned Energy
Aligned,Aligned Data Centers
Colovore,Colovore
Prime Data Centers,Prime
Prime Data Centers,Prime Data Centers
CloudHQ,CloudHQ
Csquare,Csquare
Csquare,CSquare
Serverfarm,Serverfarm
Serverfarm,Serverfarm LLC
TierPoint,TierPoint
Ntirety,Ntirety
Amazon Web Services,Amazon Web Services
Amazon Web Services,AWS
Amazon Web Services,Amazon
Microsoft,Microsoft
Microsoft,Microsoft Corporation
Google,Google
Google,Google LLC
Meta,Meta
Meta,Facebook
Oracle,Oracle
Apple,Apple
Apple,Apple Inc
CenterSquare,CenterSquare
CenterSquare,Evoque
CenterSquare,AT&T Colocation
Layer42,Layer42
SV Colo,SV Colo
LightEdge,LightEdge
Connect Data Centers,Connect Data Centers
Novva,Novva
Novva,Novva Data Centers
